Education,Gender,Age,County,Occurrences
Ordinary bachelor degree/professional qualification or both,Female,24 years,Sligo,87
Ordinary bachelor degree/professional qualification or both,Female,24 years,Cavan,85
Ordinary bachelor degree/professional qualification or both,Female,24 years,Donegal,159
Ordinary bachelor degree/professional qualification or both,Female,24 years,Monaghan,67
,,,,
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,State,18432
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Carlow,198
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Dublin City,2278
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Dún Laoghaire-Rathdown,1017
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Fingal,1218
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,South Dublin,924
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Kildare,821
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Kilkenny,386
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Laois,274
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Longford,156
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Louth,461
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Meath,641
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Offaly,250
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Westmeath,296
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Wexford,495
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Wicklow,613
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Clare,437
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Cork City,480
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Cork County,1560
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Kerry,675
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Limerick City and County,676
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Tipperary,570
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Waterford City and County,461
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Galway City,477
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Galway County,820
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Leitrim,140
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Mayo,567
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Roscommon,253
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Sligo,309
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Cavan,228
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Donegal,567
Ordinary bachelor degree/professional qualification or both,Female,25 years and over,Monaghan,184
,,,,
,,,,
,,,,
Honours bachelor degree/professional qualification or both,Male,18 years,State,4165
Honours bachelor degree/professional qualification or both,Male,18 years,Carlow,34
Honours bachelor degree/professional qualification or both,Male,18 years,Dublin City,546
Honours bachelor degree/professional qualification or both,Male,18 years,Dún Laoghaire-Rathdown,457
Honours bachelor degree/professional qualification or both,Male,18 years,Fingal,451
Honours bachelor degree/professional qualification or both,Male,18 years,South Dublin,370
Honours bachelor degree/professional qualification or both,Male,18 years,Kildare,279
Honours bachelor degree/professional qualification or both,Male,18 years,Kilkenny,78
Honours bachelor degree/professional qualification or both,Male,18 years,Laois,52
Honours bachelor degree/professional qualification or both,Male,18 years,Longford,17
Honours bachelor degree/professional qualification or both,Male,18 years,Louth,107
Honours bachelor degree/professional qualification or both,Male,18 years,Meath,177
Honours bachelor degree/professional qualification or both,Male,18 years,Offaly,44
Honours bachelor degree/professional qualification or both,Male,18 years,Westmeath,54
Honours bachelor degree/professional qualification or both,Male,18 years,Wexford,106
Honours bachelor degree/professional qualification or both,Male,18 years,Wicklow,153
Honours bachelor degree/professional qualification or both,Male,18 years,Clare,66
Honours bachelor degree/professional qualification or both,Male,18 years,Cork City,89
Honours bachelor degree/professional qualification or both,Male,18 years,Cork County,323
Honours bachelor degree/professional qualification or both,Male,18 years,Kerry,74
Honours bachelor degree/professional qualification or both,Male,18 years,Limerick City and County,125
Honours bachelor degree/professional qualification or both,Male,18 years,Tipperary,74
Honours bachelor degree/professional qualification or both,Male,18 years,Waterford City and County,95
Honours bachelor degree/professional qualification or both,Male,18 years,Galway City,44
Honours bachelor degree/professional qualification or both,Male,18 years,Galway County,83
Honours bachelor degree/professional qualification or both,Male,18 years,Leitrim,16
Honours bachelor degree/professional qualification or both,Male,18 years,Mayo,69
Honours bachelor degree/professional qualification or both,Male,18 years,Roscommon,32
Honours bachelor degree/professional qualification or both,Male,18 years,Sligo,33
Honours bachelor degree/professional qualification or both,Male,18 years,Cavan,25
Honours bachelor degree/professional qualification or both,Male,18 years,Donegal,62
Honours bachelor degree/professional qualification or both,Male,18 years,Monaghan,30
,,,,
Honours bachelor degree/professional qualification or both,Male,19 years,State,1712
Honours bachelor degree/professional qualification or both,Male,19 years,Carlow,19
Honours bachelor degree/professional qualification or both,Male,19 years,Dublin City,194
Honours bachelor degree/professional qualification or both,Male,19 years,Dún Laoghaire-Rathdown,160
Honours bachelor degree/professional qualification or both,Male,19 years,Fingal,155
Honours bachelor degree/professional qualification or both,Male,19 years,South Dublin,127
Honours bachelor degree/professional qualification or both,Male,19 years,Kildare,106
Honours bachelor degree/professional qualification or both,Male,19 years,Kilkenny,32
Honours bachelor degree/professional qualification or both,Male,19 years,Laois,18
Honours bachelor degree/professional qualification or both,Male,19 years,Longford,5
Honours bachelor degree/professional qualification or both,Male,19 years,Louth,38
Honours bachelor degree/professional qualification or both,Male,19 years,Meath,95
Honours bachelor degree/professional qualification or both,Male,19 years,Offaly,11
Honours bachelor degree/professional qualification or both,Male,19 years,Westmeath,39
Honours bachelor degree/professional qualification or both,Male,19 years,Wexford,44
Honours bachelor degree/professional qualification or both,Male,19 years,Wicklow,63
Honours bachelor degree/professional qualification or both,Male,19 years,Clare,51
Honours bachelor degree/professional qualification or both,Male,19 years,Cork City,21
Honours bachelor degree/professional qualification or both,Male,19 years,Cork County,170
Honours bachelor degree/professional qualification or both,Male,19 years,Kerry,42
Honours bachelor degree/professional qualification or both,Male,19 years,Limerick City and County,59
Honours bachelor degree/professional qualification or both,Male,19 years,Tipperary,43
Honours bachelor degree/professional qualification or both,Male,19 years,Waterford City and County,36
Honours bachelor degree/professional qualification or both,Male,19 years,Galway City,20
Honours bachelor degree/professional qualification or both,Male,19 years,Galway County,34
Honours bachelor degree/professional qualification or both,Male,19 years,Leitrim,4
Honours bachelor degree/professional qualification or both,Male,19 years,Mayo,22
Honours bachelor degree/professional qualification or both,Male,19 years,Roscommon,19
Honours bachelor degree/professional qualification or both,Male,19 years,Sligo,21
Honours bachelor degree/professional qualification or both,Male,19 years,Cavan,17
Honours bachelor degree/professional qualification or both,Male,19 years,Donegal,32
Honours bachelor degree/professional qualification or both,Male,19 years,Monaghan,15
Honours bachelor degree/professional qualification or both,Male,20 years,,
